CO_count,CO_mean,CO_median,CO_stdDev,month,year,zone,date,season
2100,40.8617235862367,40.8262193006628,3.6988208255817,4.0,2025.0,Siwalik,2025-04-01,Pre-monsoon
2100,37.9700368636939,37.9065717330453,2.5699872458407,5.0,2025.0,Siwalik,2025-05-01,Pre-monsoon
2100,35.268760687595,35.0912456000356,2.5203993291723,6.0,2025.0,Siwalik,2025-06-01,Monsoon
2100,31.682305526644097,31.6463319756484,1.6285065551196,7.0,2025.0,Siwalik,2025-07-01,Monsoon
2100,33.675181777400496,33.5978482359809,1.7059843128958,8.0,2025.0,Siwalik,2025-08-01,Monsoon
2100,33.792557948968195,33.7204727324257,2.0877951485587,9.0,2025.0,Siwalik,2025-09-01,Monsoon
2100,29.351642028049,29.0797219734214,2.1671012324109,10.0,2025.0,Siwalik,2025-10-01,Post-monsoon
2100,30.103461781467,29.964476772165902,2.8324987364105,11.0,2025.0,Siwalik,2025-11-01,Post-monsoon
2100,30.655307117438298,30.5762956660643,3.0036486073383,12.0,2025.0,Siwalik,2025-12-01,Winter
2100,32.4675328236765,32.4042130492461,3.3963005585097,1.0,2026.0,Siwalik,2026-01-01,Winter
2100,35.948712072577095,35.944065068224404,4.1445566913833005,2.0,2026.0,Siwalik,2026-02-01,Winter
2100,37.0673299831881,37.169864237967104,3.7103803067011,3.0,2026.0,Siwalik,2026-03-01,Pre-monsoon
2100,38.7144489492576,38.6382190253126,3.8341627002844,4.0,2026.0,Siwalik,2026-04-01,Pre-monsoon
2100,37.3822542328114,37.445349687992795,2.7398535765437,5.0,2026.0,Siwalik,2026-05-01,Pre-monsoon
2100,35.487924995907,35.4587681099161,3.167798528253,6.0,2026.0,Siwalik,2026-06-01,Monsoon
2100,31.351686861089004,31.4673566196128,1.7179370876548,7.0,2026.0,Siwalik,2026-07-01,Monsoon
2067,31.0580496169049,31.1880786359913,2.87385391629,8.0,2026.0,Siwalik,2026-08-01,Monsoon
1293,41.2546397007141,41.2858111372664,2.1487202280361,1.0,2019.0,Terai,2019-01-01,Winter
1293,40.0949130315568,40.3151885598136,2.7822761697858,2.0,2019.0,Terai,2019-02-01,Winter
1293,41.8450477457171,42.0887717700151,2.8793762697336,3.0,2019.0,Terai,2019-03-01,Pre-monsoon
1293,45.189389619426905,45.382548136604406,1.2849313791203,4.0,2019.0,Terai,2019-04-01,Pre-monsoon
1293,49.115938625473696,48.9849346384096,1.9494137488012,5.0,2019.0,Terai,2019-05-01,Pre-monsoon
